training_losses,training_recalls
0.6211146,0.28125
0.61478084,0.2578125
0.6124543,0.328125
0.62514484,0.296875
0.61150014,0.328125
0.6210903,0.234375
0.6072228,0.34375
0.6216798,0.2578125
0.6146611,0.34375
0.6052123,0.34375
0.61646235,0.30078125
0.61297154,0.2890625
0.6104829,0.3125
0.6095203,0.39453125
0.61791176,0.26171875
0.61601967,0.28125
0.6072657,0.33984375
0.61182916,0.26953125
0.602718,0.2890625
0.61558557,0.3359375
0.6113115,0.25390625
0.62766004,0.23828125
0.6185956,0.33203125
0.616504,0.29296875
0.6096336,0.31640625
0.60754144,0.31640625
0.6168354,0.30859375
0.62563753,0.24609375
0.61263525,0.3359375
0.60694987,0.39453125
0.6151494,0.34375
0.6158185,0.3359375
0.6180568,0.328125
0.6183334,0.29296875
0.61008275,0.3046875
0.6187683,0.2109375
0.6133566,0.37109375
0.6069677,0.34375
0.6069255,0.2890625
0.60893166,0.36328125
0.6145402,0.328125
0.6148869,0.3046875
0.6237891,0.25390625
0.6171143,0.25390625
0.61476696,0.3125
0.60571253,0.359375
0.625533,0.265625
0.62050235,0.30859375
0.6092926,0.35546875
0.61361915,0.3125
0.61686933,0.33203125
0.6144829,0.3203125
0.6188327,0.27734375
0.6133639,0.3046875
0.6015012,0.32421875
0.61580235,0.33984375
0.61029524,0.328125
0.6097611,0.31640625
0.61359465,0.31640625
0.6070059,0.3359375
0.6105499,0.27734375
0.61700237,0.33984375
0.6098275,0.3125
0.61372954,0.3203125
0.6148747,0.29296875
0.61355233,0.296875
0.62048644,0.21484375
0.6182313,0.296875
0.61611193,0.3203125
0.6103773,0.3359375
0.619448,0.3046875
0.6082867,0.296875
0.61055905,0.30078125
0.61327577,0.2890625
0.61538047,0.2734375
0.61083657,0.32421875
0.6008954,0.4609375
0.6151149,0.30078125
0.602496,0.390625
0.60833913,0.26171875
0.6138811,0.3125
0.60040104,0.390625
0.60486376,0.31640625
0.609923,0.34765625
