training_losses,training_recalls
0.60165656,0.33125
0.5940112,0.51875
0.60146505,0.31875
0.5869927,0.425
0.6003655,0.3875
0.5964467,0.4375
0.5979272,0.3625
0.5922971,0.4375
0.59174514,0.39375
0.59377337,0.4
0.5999673,0.35625
0.59624636,0.325
0.5993383,0.31875
0.5999934,0.30625
0.59381056,0.4
0.59407866,0.4125
0.60524,0.38125
0.60228986,0.325
0.5978136,0.475
0.5986955,0.31875
0.6093327,0.36875
0.6068044,0.38125
0.58947736,0.40625
0.59487695,0.43125
0.6015452,0.3375
0.59075177,0.40625
0.6017641,0.3375
0.5980736,0.44375
0.5926618,0.40625
0.60946035,0.28125
0.5854104,0.44375
0.59496033,0.3625
0.58271146,0.45
0.5976803,0.3625
0.59892046,0.4375
0.60591906,0.3625
0.59350234,0.35625
0.59212524,0.38125
0.59780794,0.39375
0.5797445,0.49375
0.6026966,0.3375
0.5908867,0.45625
0.5802201,0.51875
0.59502393,0.4375
0.60454607,0.36875
0.5901594,0.40625
0.58944833,0.4125
0.5933451,0.45625
0.6037059,0.375
0.5850482,0.39375
0.5925411,0.43125
0.5926706,0.4
0.6055608,0.375
0.583758,0.41875
0.5981988,0.4
0.5975997,0.325
0.5833489,0.475
0.6060937,0.2875
0.59215236,0.45
0.5948135,0.425
0.59181035,0.3625
0.59653616,0.39375
0.59058726,0.425
0.60014886,0.4
0.5956553,0.35625
0.59803706,0.28125
0.594738,0.35
0.5875054,0.3875
0.58371943,0.36875
0.59472483,0.3875
0.5818802,0.425
0.5779687,0.4625
0.5987748,0.34375
0.590114,0.39375
0.5844054,0.4625
0.5701059,0.45
0.5839668,0.4375
0.5987382,0.45
0.5799367,0.40625
0.6013454,0.39375
0.57990605,0.40625
0.5939735,0.43125
0.59309757,0.30625
0.58555853,0.3875
0.59347075,0.3625
0.60135746,0.3875
0.5909685,0.375
0.5983625,0.3875
0.5906242,0.4125
0.5935303,0.35
0.59529203,0.4125
0.5896751,0.29375
0.5963544,0.375
0.5919474,0.39375
0.583011,0.44375
0.58459747,0.39375
0.5741004,0.50625
0.5861152,0.4125
0.58604586,0.40625
0.5797829,0.45
0.58319324,0.45625
0.5841747,0.4625
0.5887268,0.4625
0.5989047,0.33125
0.59291804,0.40625
0.5898949,0.40625
0.6069162,0.43125
0.5738477,0.45
0.5721034,0.45625
0.587541,0.525
0.58563846,0.40625
0.6001948,0.4
0.60622567,0.40625
0.58451533,0.4
0.5709612,0.45625
0.5967561,0.38125
0.5706333,0.5125
0.5964571,0.38125
0.5927852,0.4125
0.58543515,0.375
0.5771497,0.4125
0.59079,0.39375
0.5809363,0.40625
0.59769213,0.44375
0.58549005,0.5
0.5871275,0.43125
0.5833268,0.48125
0.58681977,0.45
0.5909562,0.39375
0.5848117,0.475
0.5845361,0.43125
0.58625126,0.31875
0.5781469,0.45625
0.58355325,0.45
0.57655734,0.51875
0.5885376,0.41875
0.59056854,0.44375
0.58495486,0.43125
0.58754325,0.375
0.5952796,0.3375
0.5889313,0.43125
0.59323466,0.40625
0.59792006,0.31875
0.5931387,0.4
0.58433706,0.4
0.592165,0.4625
0.5902275,0.39375
0.5985711,0.3625
0.59989434,0.4375
0.5837569,0.46875
0.59829104,0.3875
0.5767831,0.4625
0.58112776,0.33125
0.58707654,0.4125
0.5815437,0.40625
0.5826076,0.3625
0.5981184,0.31875
0.59730613,0.3875
0.574652,0.2875
0.59261024,0.4
0.5765492,0.4625
0.5701089,0.5125
0.58019096,0.46875
0.59266174,0.4
0.5979696,0.34375
0.58418214,0.39375
0.5918099,0.41875
0.5749521,0.45
0.57533294,0.43125
0.60228664,0.40625
0.58043724,0.4375
0.5846343,0.475
0.5895895,0.4375
0.58183444,0.55
0.5785958,0.4875
0.583521,0.35
0.58233064,0.3625
0.59292203,0.3625
0.5809631,0.44375
0.58568585,0.39375
0.5782417,0.5125
0.5985731,0.375
0.57767123,0.425
0.5962183,0.425
0.5908639,0.4125
0.58603746,0.425
0.5947316,0.41875
0.5944396,0.4125
0.5736494,0.36875
0.57407033,0.4625
0.5958916,0.35625
0.58783215,0.4375
0.58335245,0.45625
0.5793821,0.4375
0.57673943,0.50625
0.5908624,0.4375
0.5843449,0.44375
0.57853365,0.425
0.56855357,0.51875
0.5700723,0.46875
0.5918145,0.375
0.5886683,0.26875
0.5630588,0.4125
0.5829528,0.44375
0.588369,0.34375
0.5758587,0.4875
0.57883793,0.43125
0.58911955,0.38125
0.5861495,0.38125
0.58875424,0.3875
0.6022523,0.35625
0.59576106,0.44375
0.5900994,0.4375
0.5799754,0.45625
0.5729396,0.55
0.59799814,0.4
0.58032596,0.51875
0.5965091,0.3875
0.59648544,0.3375
0.57111394,0.4625
0.5843009,0.31875
0.56958115,0.475
0.5887649,0.35
0.58507115,0.43125
0.5816423,0.43125
0.57757664,0.36875
0.5767561,0.45
0.5861948,0.41875
0.58654904,0.43125
0.5812476,0.46875
0.58157647,0.5
0.5808379,0.4375
0.5832178,0.38125
0.5789217,0.46875
0.57085943,0.5
0.5859345,0.375
0.5835906,0.3875
0.58684313,0.35625
0.5947221,0.44375
0.5859482,0.4125
0.5822133,0.41875
0.5734065,0.45625
0.5921298,0.28125
0.5769815,0.38125
0.58203906,0.4125
0.5911294,0.3875
0.5856391,0.36875
0.58119583,0.34375
0.5653211,0.5
0.5816264,0.41875
0.5813538,0.50625
0.5790411,0.5
0.5764085,0.375
0.58170015,0.375
0.5772602,0.46875
0.56979007,0.54375
0.5902978,0.375
0.58066726,0.48125
0.57350314,0.425
0.5737437,0.5
0.58380026,0.4375
0.580194,0.41875
0.6020975,0.31875
0.5733801,0.43125
0.58817625,0.30625
0.57852304,0.35
0.5748622,0.5125
0.5804952,0.4625
0.5792878,0.5
0.5749127,0.46875
0.57638633,0.4625
0.59270275,0.4125
0.58552986,0.39375
0.5844526,0.43125
0.58893764,0.425
0.5699982,0.525
0.5855583,0.4625
0.5784865,0.4125
0.5799802,0.44375
0.58132553,0.35
0.5896479,0.35
0.571708,0.49375
0.5694748,0.48125
0.5898131,0.4125
0.5726913,0.45
0.57936114,0.46875
0.57306087,0.4625
0.58552736,0.35
0.57516444,0.45
0.5776981,0.51875
